"Läns-kod","Kommun-kod","Enhet, nivå 1","","","","","place holder1","place holder 2","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F16","F17","F18","F19","F20","F21","F22","F23","F25","F27","F24"
"1","163","Soltorp","Soltorp Demens","","","60-80","0","0","18","25","18","80","59","35","25","82","63","65","44","57","88","62","81","75","23","38","23","87","87","82","31","88","82"
"1","163","Ulricas gård","","","","60-80","0","0","21","27","14","89","60","56","50","88","56","54","35","52","100","88","85","78","65","65","19","74","32","72","44","86","79"
"1","180","Blackebergs Gruppboende","","","","20-40","0","0","15","23","31","64","55","38","22","62","62","67","22","33","92","67","77","69","50","42","15","73","60","75","15","77","77"
"1","180","Brommagården","","","","60-80","0","0","29","21","7","92","92","79","100","86","77","79","55","69","93","85","100","85","92","71","7","77","67","85","43","92","92"
"1","180","Brommagårdens gruppboende","","","","60-80","0","0","33","44","11","100","70","50","90","80","70","90","x","100","100","100","90","100","67","70","22","100","86","89","60","90","90"
"1","180","Josephinahemmet","","","","60-80","0","0","27","27","0","93","79","80","92","73","57","80","50","64","93","80","87","86","64","43","31","80","38","80","53","90","80"
"1","180","Mälarbackens VoB","","","","40-60","0","0","16","37","13","90","69","68","73","71","68","75","61","59","97","85","82","86","68","45","24","89","43","86","55","86","84"
"1","180","Mälarbackens VoB","Omsorgsb, gruppb. Äo. valfrihet","","","40-60","0","0","14","40","14","89","69","68","74","70","66","76","64","59","96","87","80","87","67","45","22","90","40","88","57","85","85"
"1","180","Mälarbackens VoB","Vård- och omsorgsbo. profil Äo","","","20-40","0","0","29","14","0","x","71","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","43","x","x"
"1","180","Nockebyhöjden Äldreboende","","","","60-80","0","0","36","60","10","100","81","81","93","76","68","90","74","81","100","100","98","95","83","85","59","90","68","93","70","100","95"
"1","180","Nockebyhöjden Äldreboende","Omsorgsb. gruppbo. Äo valfrihet","","","40-60","0","0","40","80","20","100","100","90","90","100","90","90","89","100","100","100","100","100","80","90","71","100","89","100","60","100","100"
"1","180","Nockebyhöjden Äldreboende","Omsorgsb. sjukhem Äo valfrihet","","","60-80","0","0","38","50","4","100","81","77","96","73","60","88","68","69","100","100","96","92","84","83","56","88","64","88","77","100","92"
"1","180","Nymilen","","","","40-60","0","0","25","19","13","71","58","69","29","63","43","56","57","43","81","79","88","69","62","25","15","69","47","75","81","79","73"
"1","180","Nymilen","Omsorgsb. gruppb. Äo valfrihet","","","40-60","0","0","22","11","11","63","x","67","29","56","57","56","71","38","78","75","78","67","63","11","0","78","63","67","78","89","63"
"1","180","Nymilen","Omsorgsb. sjukhem Äo valfrihet","","","40-60","0","0","29","29","14","x","57","71","29","71","29","57","43","x","86","x","100","71","x","43","x","57","29","86","86","x","86"
"1","180","Tallbacken VoB","","","","60-80","0","0","20","39","5","84","74","74","69","63","58","65","50","49","95","89","95","90","67","57","37","79","42","88","55","89","83"
"1","180","Villa Vesta gruppboende","","","","60-80","0","0","42","27","42","89","73","58","78","92","83","82","x","63","100","67","100","91","67","58","27","100","100","91","64","100","100"
"1","180","Finskt äldrecentrum","","","","20-40","0","0","36","36","18","91","70","89","90","70","44","78","57","56","90","71","100","90","78","60","50","67","44","80","55","88","80"
